Symbol,Company Name,Industry,Prior Close,5 Day Chg,4 Week Chg,52 Week Chg,Mkt Cap
KNBWY,Kirin Holdings Co Ltd (ADR),Beverages,16.87,3.67%,6.00%,-5.00%,$15.415B
KIRK,"Kirkland's, Inc.",Other Specialty Retailers,3.58,-1.56%,-16.00%,-85.00%,$45.566M
KRBP,Kiromic Biopharma Inc,Biotechnology & Medical Research,0.41,11.21%,-5.00%,-88.00%,$6.424M
KISB,Kish Bancorp Inc,Banking Services,32.00,-1.54%,-3.00%,-14.00%,$83.392M
KIII,Kismet Acquisition Three Corp,Holding Companies,9.85,0.00%,0.00%,2.00%,$283.188M
KAII,Kismet Acquisition Two Corp,Holding Companies,9.86,0.31%,1.00%,1.00%,$226.780M
KITL,Kisses From Italy Inc,Hotels & Entertainment Services,0.04,-6.81%,4.00%,-80.00%,$7.421M
KRG,Kite Realty Group Trust,Residential & Commercial REITs,21.28,5.64%,18.00%,5.00%,$4.663B
KKR,KKR & Co Inc,Investment Banking & Investment Services,56.51,4.15%,15.00%,-16.00%,$48.585B
KAHC,KKR Acquisition Holdings I Corp,Holding Companies,9.84,0.10%,1.00%,1.00%,$1.358B
KIO,KKR Income Opportunities Fund,Collective Investments ,12.84,0.00%,11.00%,-22.00%,$261.166M
KREF,KKR Real Estate Finance Trust Inc,Residential & Commercial REITs,19.54,2.20%,9.00%,-7.00%,$1.353B
KLAQ,Kl Acquisition Corp,Holding Companies,9.87,0.05%,0.00%,2.00%,$283.763M
KLAC,KLA Corp,Semiconductors & Semiconductor Equipment ,371.45,-5.41%,17.00%,14.00%,$52.673B
KLBAY,KLABIN SA,Paper & Forest Products,7.75,0.00%,14.00%,-17.00%,$11.474B
KLDI,KLDiscovery Inc,Software & IT Services,4.00,-20.00%,13.00%,-27.00%,$170.804M
INKA,Kludein I Acquisition Corp,Holding Companies,10.04,0.34%,1.00%,3.00%,$173.190M
KLXE,KLX Energy Services Holdings Inc,Oil & Gas Related Equipment and Services,6.46,22.77%,64.00%,12.00%,$75.511M
KNX,Knight-Swift Transportation Holdings Inc,Freight & Logistics Services,56.12,1.96%,14.00%,9.00%,$9.017B
KSCP,Knightscope Inc,"Machinery, Equipment & Components",3.42,6.35%,5.00%,0.00%,$88.410M
KNSW,Knightswan Acquisition Corp,Holding Companies,10.00,0.10%,0.00%,0.00%,$229.885M
KNOP,KNOT Offshore Partners LP,Oil & Gas Related Equipment and Services,17.48,2.61%,-3.00%,-7.00%,$589.216M
,Know Labs Inc,Biotechnology & Medical Research,2.21,3.81%,4.00%,-19.00%,$96.692M
KNBE,Knowbe4 Inc,Software & IT Services,19.47,19.83%,23.00%,-27.00%,$1.551B
KN,Knowles Corp,"Computers, Phones & Household Electronics",16.43,0.30%,-7.00%,-16.00%,$1.506B
KOD,Kodiak Sciences Inc,Biotechnology & Medical Research,11.77,45.01%,37.00%,-86.00%,$612.511M
KSS,Kohl's Corporation,Diversified Retail,32.62,0.74%,11.00%,-43.00%,$4.190B
KMTUY,Komatsu Ltd (ADR),"Machinery, Equipment & Components",21.66,1.35%,5.00%,-15.00%,$21.078B
KGKG,Kona Gold Beverage Inc,Food & Tobacco,0.01,1.79%,-5.00%,-68.00%,$8.654M
KTEL,KonaTel Inc,Telecommunications Services,1.72,7.59%,19.00%,100.00%,$71.578M
ADRNY,Koninklijke Ahold Delhaize NV (ADR),Food & Drug Retailing ,28.28,6.40%,13.00%,-12.00%,$18.103B
RDSMY,Koninklijke DSM N.V. (ADR),Food & Tobacco,37.15,0.56%,6.00%,-28.00%,$25.973B
KKPNY,Koninklijke KPN N.V. (ADR),Telecommunications Services,3.19,-1.54%,-8.00%,0.00%,$13.172B
PHG,Koninklijke Philips NV (ADR),Healthcare Equipment & Supplies,20.16,0.45%,-4.00%,-55.00%,$17.929B
KTB,Kontoor Brands Inc,Textiles & Apparel,39.94,2.54%,10.00%,-33.00%,$2.212B
KOPN,Kopin Corporation,Semiconductors & Semiconductor Equipment ,1.54,11.41%,10.00%,-71.00%,$144.201M
KOP,Koppers Holdings Inc.,Chemicals,25.63,3.77%,16.00%,-19.00%,$535.590M
KORE,KORE Group Holdings Inc,"Computers, Phones & Household Electronics",2.71,0.00%,-10.00%,0.00%,$72.452M
KEP,Korea Electric Power Corporation (ADR),Electrical Utilities & IPPs,8.40,0.83%,3.00%,-20.00%,$10.785B
KF,Korea Fund Inc,Collective Investments ,25.99,2.16%,7.00%,-40.00%,$130.990M
KFY,Korn Ferry,Professional & Commercial Services  ,64.53,-0.74%,9.00%,-5.00%,$3.421B
KRNT,Kornit Digital Ltd,"Machinery, Equipment & Components",35.51,18.31%,60.00%,-71.00%,$1.633B
KRMD,KORU Medical Systems Inc,Healthcare Equipment & Supplies,2.50,-6.84%,-2.00%,-30.00%,$76.958M
KOS^E10,Kosmos Energy Ltd,Oil & Gas,6.49,1.99%,16.00%,183.00%,$2.958B
KOSS,Koss Corporation,"Computers, Phones & Household Electronics",8.76,3.49%,21.00%,-52.00%,$80.136M
KHC,Kraft Heinz Co,Food & Tobacco,38.73,3.45%,0.00%,3.00%,$47.461B
KBLB,Kraig Biocraft Laboratories Inc,Chemicals,0.06,-5.88%,0.00%,-25.00%,$50.890M
KTOS,"Kratos Defense & Security Solutions, Inc",Aerospace & Defense,15.12,-1.11%,19.00%,-39.00%,$1.904B
DNUT,Krispy Kreme Inc,Hotels & Entertainment Services,14.48,0.00%,4.00%,-2.00%,$2.422B
KR,Kroger Co,Food & Drug Retailing ,46.93,-0.38%,-2.00%,9.00%,$33.581B
KNOS,Kronos Advanced Technologies Inc.,Professional & Commercial Services  ,0.01,7.56%,6.00%,-64.00%,$9.099M
KRON,Kronos Bio Inc,Biotechnology & Medical Research,4.89,-4.26%,3.00%,-75.00%,$277.600M
KRO,"Kronos Worldwide, Inc.",Chemicals,15.43,-13.79%,-8.00%,15.00%,$1.782B
KRYS,Krystal Biotech Inc,Biotechnology & Medical Research,73.43,3.77%,7.00%,36.00%,$1.885B
KSBI,Ks Bancorp Inc,Banking Services,48.27,0.56%,4.00%,16.00%,$72.212M
KT,KT Corp (ADR),Telecommunications Services,14.49,2.04%,4.00%,0.00%,$7.567B
KBNT,Kubient Inc,Media & Publishing,1.12,10.11%,10.00%,-76.00%,$16.020M
KUBTY,Kubota Corp (ADR),"Machinery, Equipment & Components",82.25,4.53%,9.00%,-22.00%,$22.882B
KUKE,Kuke Music Holding Ltd - ADR,Media & Publishing,1.38,-2.86%,1.00%,-78.00%,$29.373M
KLIC,Kulicke and Soffa Industries Inc.,Semiconductors & Semiconductor Equipment ,48.83,-0.77%,10.00%,-25.00%,$2.835B
KULR,KULR Technology Group Inc,"Machinery, Equipment & Components",1.61,6.49%,13.00%,-27.00%,$172.307M
KIROY,Kumba Iron Ore Ltd - ADR,Metals & Mining,9.82,0.00%,10.00%,-43.00%,$9.493B
CXKJ,Kun Peng International Ltd,Software & IT Services,1.77,4.73%,9.00%,332.00%,$70.800M
KURA,Kura Oncology Inc,Biotechnology & Medical Research,16.00,9.42%,-11.00%,-3.00%,$1.070B
,Kura Sushi USA Inc,Hotels & Entertainment Services,92.76,7.76%,20.00%,105.00%,$810.722M
KVHI,"KVH Industries, Inc.",Communications & Networking,9.14,7.14%,6.00%,-17.00%,$174.346M
KWGBF,KWG Resources Inc,Metals & Mining,0.04,0.00%,12.00%,31.00%,$37.487M
KYMR,Kymera Therapeutics Inc,Biotechnology & Medical Research,32.51,27.62%,42.00%,-38.00%,$1.686B
KD,Kyndryl Holdings Inc,Software & IT Services,11.30,9.55%,21.00%,0.00%,$2.562B
KYOCY,Kyocera Corp (ADR),"Machinery, Equipment & Components",56.13,0.82%,9.00%,-9.00%,$21.196B
FSTR,L B Foster Co,"Machinery, Equipment & Components",15.00,-6.17%,9.00%,-18.00%,$163.350M
LCAA,L Catterton Asia Acquisition Corp,Holding Companies,9.85,0.10%,1.00%,2.00%,$282.212M
SCX,L S Starrett Co,"Machinery, Equipment & Components",7.12,1.43%,2.00%,-4.00%,$47.469M
LHX,L3Harris Technologies Inc,Aerospace & Defense,231.29,-2.77%,5.00%,2.00%,$44.258B
LJPC,La Jolla Pharmaceutical Company,Biotechnology & Medical Research,6.20,-0.32%,0.00%,51.00%,$158.856M
LZB,La-Z-Boy Incorporated,Household Goods,28.97,-0.49%,11.00%,-21.00%,$1.248B
LTNC,Labor Smart Inc,Professional & Commercial Services  ,0.00,-16.67%,25.00%,-94.00%,$6.627M
LH,Laboratory Corp. of America Holdings,Healthcare Providers & Services,258.74,2.50%,6.00%,-14.00%,$23.985B
LADR,Ladder Capital Corp,Residential & Commercial REITs,11.49,0.79%,6.00%,1.00%,$1.457B
LBRG,"Ladybug Resource Group, Inc.",Professional & Commercial Services  ,0.02,0.00%,-3.00%,89.00%,$4.304M
LSF,Laird Superfood Inc,Food & Tobacco,1.98,-1.16%,-6.00%,-90.00%,$18.097M
LAIXY,LAIX Inc,Software & IT Services,1.71,-0.60%,-8.00%,-88.00%,$51.899M
LSBK,"Lake Shore Bancorp, Inc.",Banking Services,13.76,0.57%,1.00%,-6.00%,$78.611M
LBAI,"Lakeland Bancorp, Inc.",Banking Services,16.34,1.45%,14.00%,-3.00%,$1.059B
LKFN,Lakeland Financial Corporation,Banking Services,78.90,3.60%,19.00%,6.00%,$2.000B
LAKE,"Lakeland Industries, Inc.",Textiles & Apparel,15.53,-2.86%,-1.00%,-37.00%,$119.131M
LAAA,Lakeshore Acquisition I Corp,Holding Companies,9.97,0.30%,0.00%,3.00%,$70.737M
LBBB,Lakeshore Acquisition II Corp,Holding Companies,9.99,-0.30%,1.00%,0.00%,$91.329M
LRCX,Lam Research Corporation,Semiconductors & Semiconductor Equipment ,497.46,-5.67%,18.00%,-15.00%,$69.005B
LAMR,Lamar Advertising Co,Residential & Commercial REITs,104.41,4.34%,18.00%,-4.00%,$9.096B
LW,Lamb Weston Holdings Inc,Food & Tobacco,80.31,-1.35%,10.00%,21.00%,$11.544B
LGVC,LAMF Global Ventures I Corp,Holding Companies,10.02,0.30%,1.00%,0.00%,$264.588M
LLLI,Lamperd Less Lethal Inc,Aerospace & Defense,0.01,1.27%,3.00%,-39.00%,$1.586M
LANC,Lancaster Colony Corp.,Food & Tobacco,144.36,4.83%,11.00%,-25.00%,$3.973B
LCA,Landcadia Holdings IV Inc,Holding Companies,9.81,-0.10%,0.00%,1.00%,$490.500M
LNDC,Landec Corporation,Food & Tobacco,11.31,6.17%,13.00%,2.00%,$333.430M
LARK,Landmark Bancorp Inc,Banking Services,25.05,-1.38%,2.00%,-5.00%,$124.974M
LABP,Landos Biopharma Inc,Biotechnology & Medical Research,1.08,32.57%,54.00%,-91.00%,$43.475M
LE,"Lands' End, Inc.",Other Specialty Retailers,15.85,3.58%,29.00%,-62.00%,$529.612M
LSEA,Landsea Homes Corp,Real Estate Operations,6.68,-1.84%,1.00%,-21.00%,$273.386M
LSTR,"Landstar System, Inc.",Freight & Logistics Services,157.48,1.74%,8.00%,-4.00%,$5.737B
LCI,"Lannett Company, Inc.",Pharmaceuticals,0.58,-0.05%,-4.00%,-87.00%,$24.868M
LTRN,Lantern Pharma Inc.,Biotechnology & Medical Research,6.09,13.84%,13.00%,-55.00%,$65.961M
LNTH,Lantheus Holdings Inc,Healthcare Equipment & Supplies,83.34,9.16%,22.00%,216.00%,$5.729B
LTRX,Lantronix Inc,Communications & Networking,7.65,-2.66%,47.00%,45.00%,$3.352B
LRDC,Laredo Oil Inc,Oil & Gas,0.23,-1.62%,9.00%,264.00%,$12.266M
LPI,Laredo Petroleum Inc,Oil & Gas,68.88,-19.99%,-6.00%,48.00%,$1.178B
LRMR,Larimar Therapeutics Inc,Biotechnology & Medical Research,1.98,18.79%,-2.00%,-85.00%,$35.066M
LSPR,Larkspur Health Acquisition Corp,Holding Companies,10.00,0.00%,0.00%,0.00%,$80.870M
LVS,Las Vegas Sands Corp.,Hotels & Entertainment Services,37.69,-5.93%,6.00%,-8.00%,$28.801B
LTMAQ,LATAM Airlines Group SA (ADR),Passenger Transportation Services,0.29,1.05%,0.00%,-89.00%,$176.768M
LATG,Latamgrowth SPAC,Holding Companies,10.00,0.00%,0.00%,0.00%,$130.000M
LTCH,Latch Inc,Professional & Commercial Services  ,1.25,14.56%,0.00%,-90.00%,$179.526M
SWIM,Latham Group Inc,Chemicals,6.36,8.67%,7.00%,-72.00%,$760.491M
LSCC,Lattice Semiconductor Corp,Semiconductors & Semiconductor Equipment ,61.70,-1.08%,27.00%,8.00%,$8.472B
LAUR,Laureate Education Inc,Miscellaneous Educational Service Providers,11.26,-1.04%,3.00%,-27.00%,$1.854B
LVAC,LAVA Medtech Acquisition Corp,Holding Companies,10.07,0.10%,1.00%,0.00%,$115.805M
LVTX,LAVA Therapeutics NV,Biotechnology & Medical Research,2.71,1.56%,-5.00%,-53.00%,$68.577M
LGI,Lazard Global Total Return & Income Fund,Collective Investments ,17.54,-0.57%,16.00%,-18.00%,$38.044M
LGAC,Lazard Growth Acquisition Corp I,Holding Companies,9.86,0.00%,1.00%,1.00%,$566.950M
LAZ,Lazard Ltd,Investment Banking & Investment Services,39.10,0.49%,16.00%,-20.00%,$4.409B
LAZY,Lazydays Holdings Inc,Leisure Products,16.52,1.69%,31.00%,-34.00%,$180.960M
LCII,LCI Industries,Leisure Products,134.39,-0.77%,8.00%,-11.00%,$3.418B
LCNB,LCNB Corp.,Banking Services,15.86,1.50%,6.00%,-13.00%,$180.090M
LDHA,LDH Growth Corp I,Holding Companies,9.84,0.00%,0.00%,1.00%,$226.320M
LEGA,Lead Edge Growth Opportunities Ltd,Holding Companies,9.84,0.20%,1.00%,0.00%,$245.196M
LCHD,Leader Capital Holdings Corp,Software & IT Services,1.00,0.00%,0.00%,-50.00%,$186.771M
LBUY,Leafbuyer Technologies Inc,Healthcare Equipment & Supplies,0.05,-1.02%,8.00%,-49.00%,$4.339M
LFLY,Leafly Holdings Inc,Software & IT Services,2.28,-52.75%,-43.00%,-76.00%,$34.159M
LPTX,Leap Therapeutics Inc,Biotechnology & Medical Research,1.30,1.74%,6.00%,-30.00%,$114.813M
LEA,Lear Corporation,Automobiles & Auto Parts,151.26,-5.54%,14.00%,-13.00%,$8.981B
LCW,Learn CW Investment Corp,Holding Companies,9.92,0.00%,0.00%,0.00%,$228.160M
LTRE,"Learning Tree International, Inc.",Professional & Business Education,1.25,0.00%,0.00%,112.00%,$16.530M
LEAT,Leatt Corp,Leisure Products,22.60,10.45%,22.00%,28.00%,$130.899M
LEE,"Lee Enterprises, Incorporated",Media & Publishing,19.37,1.32%,8.00%,-26.00%,$115.774M
LTES,Leet Technology Inc,Software & IT Services,0.11,-15.02%,-22.00%,-65.00%,$17.217M
LFTR,Lefteris Acquisition Corp,Holding Companies,9.95,0.20%,0.00%,2.00%,$205.961M
LEAI,Legacy Education Alliance Inc,Professional & Business Education,0.15,6.56%,44.00%,30.00%,$5.091M
LEGH,Legacy Housing Corp,Homebuilding & Construction Supplies,17.78,30.35%,40.00%,-6.00%,$433.939M
LGGNY,Legal & General Group PLC - ADR,Investment Banking & Investment Services,17.23,0.00%,21.00%,-11.00%,$20.582B
LZ^I11,LegalZoom. com Inc,Software & IT Services,10.99,7.01%,15.00%,-68.00%,$2.177B
LGTO,Legato Merger II Corp,Holding Companies,9.99,0.70%,1.00%,0.00%,$358.751M
LEGN,Legend Biotech Corp,Biotechnology & Medical Research,46.09,1.58%,-9.00%,22.00%,$6.130B
LEG,"Leggett & Platt, Inc.",Household Goods,41.35,1.39%,11.00%,-18.00%,$5.484B
LGCP,Legion Capital Corp,Banking Services,0.67,-19.41%,-29.00%,-39.00%,$10.968M
LDOS,Leidos Holdings Inc,Software & IT Services,98.16,-1.30%,0.00%,3.00%,$13.403B
LEJU,Leju Holdings Ltd (ADR),Real Estate Operations,2.51,-28.50%,-3.00%,-87.00%,$343.423M
LMAT,LeMaitre Vascular Inc,Healthcare Equipment & Supplies,54.83,2.44%,18.00%,0.00%,$1.204B
LMND,Lemonade Inc,Insurance,30.41,29.57%,46.00%,-61.00%,$2.097B
LC,LendingClub Corp,Banking Services,15.01,2.21%,18.00%,-48.00%,$1.534B
TREE,Lendingtree Inc,Banking Services,46.85,6.59%,14.00%,-73.00%,$599.024M
LEN,Lennar Corporation,Homebuilding & Construction Supplies,87.76,5.72%,12.00%,-19.00%,$22.378B
LII,Lennox International Inc.,"Machinery, Equipment & Components",251.33,2.23%,15.00%,-27.00%,$8.905B
LNVGY,Lenovo Group Limited (ADR),"Computers, Phones & Household Electronics",18.10,-0.40%,-3.00%,-16.00%,$10.898B
LNSR,LENSAR Inc,Healthcare Equipment & Supplies,6.25,-0.47%,-5.00%,-27.00%,$68.881M
LHC,Leo Holdings Corp II,Holding Companies,9.91,0.00%,0.00%,3.00%,$371.625M
LHAA,Lerer Hippeau Acquisition Corp,Holding Companies,9.83,0.00%,0.00%,1.00%,$225.618M
LSAK,Lesaka Technologies Inc,Professional & Commercial Services  ,5.89,4.26%,13.00%,32.00%,$348.564M
LESL,Leslie's Inc,Other Specialty Retailers,15.56,0.83%,8.00%,-35.00%,$2.848B
LVRA,Levere Holdings Corp,Holding Companies,9.85,0.10%,1.00%,2.00%,$267.221M
LEVI,Levi Strauss & Co.,Textiles & Apparel,19.52,-0.52%,11.00%,-31.00%,$1.932B
LEXX,Lexaria Bioscience Corp,Pharmaceuticals,3.24,5.51%,3.00%,-49.00%,$19.261M
LXRX,"Lexicon Pharmaceuticals, Inc.",Biotechnology & Medical Research,2.76,3.35%,-8.00%,-27.00%,$506.808M
LX,LexinFintech Holdings Ltd - ADR,Banking Services,2.08,5.08%,-2.00%,-71.00%,$556.100M
LFAC,LF Capital Acquisition II Corp,Holding Companies,10.07,0.40%,1.00%,0.00%,$260.561M
LIFD,LFTD Partners Inc,Food & Tobacco,7.80,-2.04%,37.00%,67.00%,$109.808M
LPL,LG Display Co Ltd. (ADR),Electronic Equipment & Parts,6.38,4.03%,6.00%,-30.00%,$4.566B
LGIH,LGI Homes Inc,Homebuilding & Construction Supplies,112.02,5.19%,17.00%,-30.00%,$2.607B
LGL,LGL Group Inc,"Machinery, Equipment & Components",13.97,-2.36%,1.00%,30.00%,$74.726M
LHCG,"LHC Group, Inc.",Healthcare Providers & Services,162.61,-0.45%,2.00%,-11.00%,$5.046B
LICY,Li-Cycle Holdings Corp,Professional & Commercial Services  ,7.76,0.54%,18.00%,-22.00%,$1.266B
LIAN,LianBio - ADR,Biotechnology & Medical Research,2.61,20.00%,15.00%,0.00%,$282.598M
SYQH,Liaoning Shuiyun Qinghe Rice Inds Co Ltd,Holding Companies,1.00,0.00%,0.00%,264.00%,$7.351M
USA,Liberty All-Star Equity Fund,Collective Investments ,6.84,0.89%,2.00%,-18.00%,$1.779B
ASG,Liberty All-Star Growth Fund Inc.,Collective Investments ,6.76,1.75%,11.00%,-23.00%,$380.642M
BATRA,Liberty Braves Group,Media & Publishing,28.14,-3.10%,7.00%,8.00%,$290.208M
LBRDA,Liberty Broadband Corp,Media & Publishing,116.18,3.43%,0.00%,-35.00%,$2.305B
LBRT,Liberty Energy Inc,Oil & Gas Related Equipment and Services,13.89,-2.63%,16.00%,35.00%,$2.551B
LBTYA,Liberty Global PLC,Telecommunications Services,21.79,0.14%,5.00%,-25.00%,$3.778B
LILA,Liberty Latin America Ltd,Telecommunications Services,7.87,3.82%,15.00%,-43.00%,$349.137M
LMACA,Liberty Media Acquisition Corp,Holding Companies,9.88,-0.20%,0.00%,-3.00%,$568.100M
FWONA,Liberty Media Formula One,Media & Publishing,60.66,2.71%,14.00%,47.00%,$1.567B
LIBY,Liberty Resources Acquisition Corp,Holding Companies,10.04,-0.45%,1.00%,0.00%,$120.781M
LSXMA,Liberty Sirius XM Group,Media & Publishing,43.76,3.57%,19.00%,-11.00%,$4.405B
LBSR,Liberty Star Uranium & Metals Corp.,Metals & Mining,0.17,-13.86%,-31.00%,-76.00%,$377.141M
LTRPA,Liberty Tripadvisor Holdings Inc,Software & IT Services,1.35,89.52%,80.00%,-67.00%,$97.857M
LICT,LICT Corporation,Telecommunications Services,"21,800.00",3.26%,-8.00%,-5.00%,$414.200M
LCLP,Life Clips Inc,Software & IT Services,0.00,0.00%,21.00%,-90.00%,$5.742M
LFEV,Life Electric Vehicles Holdings Inc,Automobiles & Auto Parts,0.41,0.00%,-54.00%,"2,615.00%",$2.878M
LSI,Life Storage Inc,Residential & Commercial REITs,132.95,6.72%,17.00%,10.00%,$11.219B
LTH,Life Time Group Holdings Inc,Hotels & Entertainment Services,14.95,-0.19%,18.00%,0.00%,$2.898B
LCTC,Lifeloc Technologies Inc,"Machinery, Equipment & Components",3.05,8.63%,-17.00%,-51.00%,$7.485M
LFMD,LifeMD Inc,Diversified Retail,3.15,16.73%,44.00%,-68.00%,$97.007M
LFST,Lifestance Health Group Inc,Healthcare Providers & Services,8.25,9.47%,41.00%,-33.00%,$3.104B
LCUT,Lifetime Brands Inc,Household Goods,9.46,-6.66%,-7.00%,-50.00%,$208.659M
LFVN,LifeVantage Corp,Pharmaceuticals,4.28,-1.67%,2.00%,-43.00%,$53.885M
LWAY,"Lifeway Foods, Inc.",Food & Tobacco,5.78,2.68%,20.00%,1.00%,$89.434M
LGND,Ligand Pharmaceuticals Inc.,Biotechnology & Medical Research,101.97,11.98%,14.00%,-3.00%,$1.719B
LNW,Light & Wonder Inc,Hotels & Entertainment Services,56.07,2.81%,30.00%,-23.00%,$5.289B
LTBR,Lightbridge Corp,Professional & Commercial Services  ,7.02,0.44%,38.00%,9.00%,$77.796M
LITB,Lightinthebox Holding Co Ltd-ADR,Diversified Retail,1.00,-2.91%,-8.00%,-25.00%,$225.600M
LJAQ,Lightjump Acquisition Corp,Holding Companies,10.05,0.00%,0.00%,3.00%,$174.569M
ZEV,Lightning Emotors Inc,"Machinery, Equipment & Components",3.74,-2.02%,14.00%,-57.00%,$282.819M
LPTH,"LightPath Technologies, Inc.",Office Equipment,1.65,13.21%,48.00%,-12.00%,$44.628M
LWLG,"Lightwave Logic, Inc.",Communications & Networking,10.77,-5.26%,10.00%,0.00%,$1.207B
LILM,Lilium NV,Aerospace & Defense,2.94,2.42%,19.00%,0.00%,$838.065M
LMB,Limbach Holdings Inc,Construction & Engineering,6.40,13.96%,11.00%,-38.00%,$66.867M
LMST,Limestone Bancorp Inc,Banking Services,19.20,-0.26%,4.00%,17.00%,$127.488M
LMNL,Liminal BioSciences Inc,Biotechnology & Medical Research,0.50,19.05%,-12.00%,-82.00%,$15.083M
BLAB,Limitless X Holdings Inc,Food & Tobacco,0.45,-35.06%,-8.00%,-77.00%,$4.861M
LMNR,Limoneira Company,Food & Tobacco,13.28,3.91%,2.00%,-23.00%,$235.348M
LINC,Lincoln Educational Services Corp,Professional & Business Education,5.94,-18.29%,-4.00%,-9.00%,$159.311M
LECO,"Lincoln Electric Holdings, Inc.","Machinery, Equipment & Components",144.84,3.17%,20.00%,1.00%,$8.389B
LNC,Lincoln National Corporation,Insurance,50.14,-6.53%,3.00%,-31.00%,$8.535B
LIND,Lindblad Expeditions Holdings Inc,Hotels & Entertainment Services,10.73,21.67%,60.00%,-28.00%,$569.377M
LIN,Linde PLC,Chemicals,305.87,3.11%,12.00%,0.00%,$152.435B
LNN,Lindsay Corporation,"Machinery, Equipment & Components",165.36,4.50%,26.00%,-5.00%,$1.815B
LCTX,Lineage Cell Therapeutics Inc,Biotechnology & Medical Research,1.55,-4.29%,-5.00%,-40.00%,$263.077M
BOTY,Lingerie Fighting Championships Inc,"Machinery, Equipment & Components",0.00,0.00%,-12.00%,-74.00%,$2.475M
LEV,Lion Electric Co,Automobiles & Auto Parts,5.19,4.59%,28.00%,-61.00%,$986.110M
LGHL,Lion Group Holding Ltd - ADR,Investment Banking & Investment Services,1.41,17.50%,8.00%,-25.00%,$10.784M
LION,Lionheart III Corp,Holding Companies,10.02,0.00%,0.00%,0.00%,$129.258M
LGF/A,Lions Gate Entertainment Corp. (USA),Media & Publishing,11.30,14.58%,33.00%,-14.00%,$941.426M
LPCN,Lipocine Inc,Biotechnology & Medical Research,0.70,-11.48%,-9.00%,-52.00%,$62.223M
LIQT,LiqTech International Inc,Professional & Commercial Services  ,0.48,0.89%,-1.00%,-91.00%,$10.215M
YVR,Liquid Media Group Ltd  (USA),Software & IT Services,0.43,0.40%,2.00%,-76.00%,$4.688M
LQDA,Liquidia Corp,Biotechnology & Medical Research,5.71,6.33%,47.00%,115.00%,$367.404M
LQDT,"Liquidity Services, Inc.",Software & IT Services,19.24,-16.69%,19.00%,-23.00%,$684.636M
LQMT,Liquidmetal Technologies Inc,Metals & Mining,0.09,-1.75%,-10.00%,-11.00%,$80.905M
LAD,Lithia Motors Inc,Other Specialty Retailers,271.85,-0.89%,-4.00%,-28.00%,$7.483B
LBTI,Lithium & Boron Technology Inc,Chemicals,0.73,2.57%,-14.00%,-36.00%,$135.919M
LTUM,Lithium Corporation.,Chemicals,0.21,5.35%,30.00%,-47.00%,$22.599M
LFUS,"Littelfuse, Inc.","Machinery, Equipment & Components",248.80,-3.58%,6.00%,-9.00%,$6.159B
LIVB,LIV Capital Acquisition Corp II,Holding Companies,10.00,-0.10%,0.00%,0.00%,$116.100M
LIVN,LivaNova PLC,Healthcare Equipment & Supplies,63.54,0.45%,4.00%,-19.00%,$3.402B
LIVC,Live Current Media Inc.,Software & IT Services,0.28,-3.03%,83.00%,192.00%,$44.154M
LYV,"Live Nation Entertainment, Inc.",Media & Publishing,96.43,-0.20%,16.00%,20.00%,$22.176B
LOB,Live Oak Bancshares Inc,Banking Services,41.36,4.07%,31.00%,-34.00%,$1.815B
LOCC,Live Oak Crestview Climate Acquistn Corp,Holding Companies,9.68,0.10%,0.00%,0.00%,$193.600M
LOKM,Live Oak Mobility Acquisition Corp,Holding Companies,9.85,-0.10%,0.00%,2.00%,$249.205M
LIVE,Live Ventures Inc,Holding Companies,29.30,-6.28%,11.00%,19.00%,$90.713M
LVCE,LiveCare Inc,Healthcare Equipment & Supplies,1.84,0.00%,23.00%,0.00%,$31.309M
LTHM,Livent Corp,Chemicals,28.34,16.53%,39.00%,9.00%,$5.081B
LVO,LiveOne Inc,Media & Publishing,1.28,2.22%,14.00%,-60.00%,$106.278M
LPSN,"LivePerson, Inc.",Software & IT Services,13.43,-12.96%,1.00%,-78.00%,$1.007B
RAMP,Liveramp Holdings Inc,Software & IT Services,22.69,-18.16%,-12.00%,-50.00%,$1.523B
LVOX,LiveVox Holdings Inc,Software & IT Services,2.79,25.50%,67.00%,-62.00%,$278.643M
LVVV,Livewire Ergogenics Inc,Healthcare Providers & Services,0.01,-4.49%,-17.00%,-78.00%,$2.417M
LVWD,"LiveWorld, Inc.",Software & IT Services,0.14,-6.67%,0.00%,75.00%,$6.389M
LXEH,Lixiang Education Holding Co Ltd - ADR,"School, College & University",3.62,22.22%,109.00%,-45.00%,$12.057M
LIXT,Lixte Biotechnology Holdings Inc,Biotechnology & Medical Research,0.75,3.51%,4.00%,-67.00%,$12.485M
LKQ,LKQ Corporation,Automobiles & Auto Parts,55.25,0.44%,10.00%,8.00%,$15.160B
LL,Ll Flooring Holdings Inc,Other Specialty Retailers,9.85,-2.90%,1.00%,-53.00%,$288.969M
LYG,Lloyds Banking Group PLC (ADR),Banking Services,2.22,0.45%,13.00%,-12.00%,$38.006B
LMFA,LM Funding America Inc,Banking Services,1.08,-7.76%,27.00%,-77.00%,$14.139M
LMAO,LMF Acquisition Opportunities Inc,Holding Companies,10.25,0.20%,0.00%,4.00%,$107.139M
LMPX,LMP Automotive Holdings Inc,Other Specialty Retailers,7.77,20.71%,42.00%,-58.00%,$84.763M
SCD,LMP Capital and Income Fund Inc.,Collective Investments ,13.86,1.59%,9.00%,-6.00%,$243.479M
